title,year,author,journal,doi,type,issn,shortname,journal_short,publisher,issue,volume,page,published,subject,abstract,licence,pmid,keyword,pmcid
Solid State Environment Importance in Photochromic Fe/Co Squares,,,,,,,,,,,,,,,,,,,
Spin-state switches in molecular materials chemistry,2015.0,"[{'given': 'Shinya', 'family': 'Hayami', 'name': 'Shinya Hayami'}, {'given': 'Stephen M.', 'family': 'Holmes', 'name': 'Stephen M. Holmes'}, {'given': 'Malcolm A.', 'family': 'Halcrow', 'name': 'Malcolm A. Halcrow'}]",Journal of Materials Chemistry C,10.1039/c5tc90128f,journal-article,"['2050-7526', '2050-7534']",J. Mater. Chem. C,J. Mater. Chem. C,Royal Society of Chemistry (RSC),30,3,7775-7778,2015-01-01,"['Materials Chemistry', 'General Chemistry']","Guest editors Shinya Hayami, Stephen M. Holmes and Malcolm A. Halcrow introduce this Journal of Materials Chemistry C themed issue on spin-state switches in molecular materials chemistry.",,,,
Synthesis and characterization of first row transition metal p-toluenesulfonate complexes and chains,2017.0,"[{'given': 'Philip J.', 'family': 'Ferko', 'name': 'Philip J. Ferko'}, {'given': 'Jeffrey R.', 'family': 'Withers', 'name': 'Jeffrey R. Withers'}, {'given': 'Hung', 'family': 'Nguyen', 'name': 'Hung Nguyen'}, {'given': 'Charles', 'family': 'Allison', 'name': 'Charles Allison'}, {'given': 'Joshua', 'family': 'Ema', 'name': 'Joshua Ema'}, {'given': 'Tim', 'family': 'Ema', 'name': 'Tim Ema'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Yuan-Zhu', 'family': 'Zhang', 'name': 'Yuan-Zhu Zhang'}, {'given': 'Stephen M.', 'family': 'Holmes', 'name': 'Stephen M. Holmes'}]",Polyhedron,10.1016/j.poly.2016.11.047,journal-article,['0277-5387'],Polyhedron,Polyhedron,Elsevier BV,,123,344-352,2017-02-01,"['Materials Chemistry', 'Inorganic Chemistry', 'Physical and Theoretical Chemistry']",,publisher-specific-oa,,,
Importance of In-State Angular Momentum in Mononuclear Trispyrazolyl¬borate Single-Molecule Magnets,,,,,,,,,,,,,,,,,,,
Co-existence of One- and Three-Dimensional Magnetic Order in Cyanometalate {MII2FeIII3,,,}n Single-Chain Magnets (MII,,,,,,,,,,,,,,,,
"Structure-Property Studies of Niobium(III,IV) Bis(N-heterocyclic)-carbenes",,,,,,,,,,,,,,,,,,,
Solid State Environment and Its Importance in Tuning Photochromic Cyanometalate Fe/Co Squares,,,,,,,,,,,,,,,,,,,
Co-existence of One- and Three-Dimensional Magnetic Order in Cyanometalate {MII2FeIII3,,,}n Single-Chain Magnets (MII,,,,,,,,,,,,,,,,
Solid State Environment and Its Importance in Tuning Photochromic Cyanometalate Fe/Co Squares,,,,,,,,,,,,,,,,,,,
"Structure-Property Studies of a New One-Dimensional Fe(III)/Mn(II) Chain"", Polyhedron, 2020, 179, 114376",,,,,,,,,,,,,,,,,,,
Synthesis and Characterization of a New Trinuclear Cyanide-Bridged Fe2Mn Cluster,,,,,,,,,,,,,,,,,,,
Structure-Property Studies of a Trinuclear Fe(III)2Mn(II) Complex,,,,,,,,,,,,,,,,,,,
Structure-Property Studies of a New One-Dimensional Fe(III)/Mn(II) Chain,2020.0,"[{'given': 'Yuan-Zhu', 'family': 'Zhang', 'name': 'Yuan-Zhu Zhang'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'John M.', 'family': 'Cain', 'name': 'John M. Cain'}, {'given': 'Mark W.', 'family': 'Meisel', 'name': 'Mark W. Meisel'}, {'given': 'Stephen M.', 'family': 'Holmes', 'name': 'Stephen M. Holmes'}]",Polyhedron,10.1016/j.poly.2020.114376,journal-article,['0277-5387'],Polyhedron,Polyhedron,Elsevier BV,,179,114376,2020-03-01,"['Materials Chemistry', 'Inorganic Chemistry', 'Physical and Theoretical Chemistry']",,,,,
Observation of Large Magnetic Anisotropy in a Five-Coordinate Ni(II) Complex,,,,,,,,,,,,,,,,,,,
Halide Tuning of Slow Magnetic Relaxation in Mononuclear Nickel(II) Single-Molecule Magnets,,,,,,,,,,,,,,,,,,,
Spin-state switches in molecular materials chemistry,2015.0,"[{'given': 'Shinya', 'family': 'Hayami', 'name': 'Shinya Hayami'}, {'given': 'Stephen M.', 'family': 'Holmes', 'name': 'Stephen M. Holmes'}, {'given': 'Malcolm A.', 'family': 'Halcrow', 'name': 'Malcolm A. Halcrow'}]",Journal of Materials Chemistry C,10.1039/c5tc90128f,journal-article,"['2050-7526', '2050-7534']",J. Mater. Chem. C,J. Mater. Chem. C,Royal Society of Chemistry (RSC),30,3,7775-7778,2015-01-01,"['Materials Chemistry', 'General Chemistry']","Guest editors Shinya Hayami, Stephen M. Holmes and Malcolm A. Halcrow introduce this Journal of Materials Chemistry C themed issue on spin-state switches in molecular materials chemistry.",,,,
A Structurally Related Series of (TpPh)MX Complexes,,,,,,,,,,,,,,,,,,,
Structure-Property Relationships in Tricyanoferrate(III) Building Blocks and Trinuclear Cyanide-Bridged Complexes,,,,,,,,,,,,,,,,,,,
Simultaneous Introduction of Redox and Coordination Chemistry Concepts in a Single Laboratory Experiment,2017.0,"[{'given': 'Philip J.', 'family': 'Ferko', 'name': 'Philip J. Ferko'}, {'given': 'Jeffrey R.', 'family': 'Withers', 'name': 'Jeffrey R. Withers'}, {'given': 'Hung', 'family': 'Nguyen', 'name': 'Hung Nguyen'}, {'given': 'Joshua', 'family': 'Ema', 'name': 'Joshua Ema'}, {'given': 'Tim', 'family': 'Ema', 'name': 'Tim Ema'}, {'given': 'Charles', 'family': 'Allison', 'name': 'Charles Allison'}, {'given': 'Christian', 'family': 'Dornhoefer', 'name': 'Christian Dornhoefer'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Stephen M.', 'family': 'Holmes', 'name': 'Stephen M. Holmes'}]",Journal of Chemical Education,10.1021/acs.jchemed.6b00256,journal-article,"['0021-9584', '1938-1328']",J. Chem. Educ.,J. Chem. Educ.,American Chemical Society (ACS),1,94,95-100,2017-01-10,"['Education', 'General Chemistry']",,,,,
Halide Tuning of Slow Magnetic Relaxation in Mononuclear Nickel(II) Single-Molecule Magnets,,,,,,,,,,,,,,,,,,,
Magnetic Anisotropy Trends in {FeIIICuII,,,}n Complexes and One Dimensional Chains,,,,,,,,,,,,,,,,
Simultaneous Introduction of Redox and Coordination Chemistry Concepts in a Single Laboratory Experiment,2017.0,"[{'given': 'Philip J.', 'family': 'Ferko', 'name': 'Philip J. Ferko'}, {'given': 'Jeffrey R.', 'family': 'Withers', 'name': 'Jeffrey R. Withers'}, {'given': 'Hung', 'family': 'Nguyen', 'name': 'Hung Nguyen'}, {'given': 'Joshua', 'family': 'Ema', 'name': 'Joshua Ema'}, {'given': 'Tim', 'family': 'Ema', 'name': 'Tim Ema'}, {'given': 'Charles', 'family': 'Allison', 'name': 'Charles Allison'}, {'given': 'Christian', 'family': 'Dornhoefer', 'name': 'Christian Dornhoefer'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Stephen M.', 'family': 'Holmes', 'name': 'Stephen M. Holmes'}]",Journal of Chemical Education,10.1021/acs.jchemed.6b00256,journal-article,"['0021-9584', '1938-1328']",J. Chem. Educ.,J. Chem. Educ.,American Chemical Society (ACS),1,94,95-100,2017-01-10,"['Education', 'General Chemistry']",,,,,
Optimizing the Labor Strategy of a Professional Service Firm,2019.0,"[{'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Cipriano A.', 'family': 'Santos', 'name': 'Cipriano A. Santos'}, {'given': 'Andrei', 'family': 'Fuciec', 'name': 'Andrei Fuciec'}, {'given': 'Tere', 'family': 'Gonzalez', 'name': 'Tere Gonzalez'}, {'given': 'Shelen', 'family': 'Jain', 'name': 'Shelen Jain'}, {'given': 'Claudia', 'family': 'Marquez', 'name': 'Claudia Marquez'}, {'given': 'Christopher', 'family': 'Mejia', 'name': 'Christopher Mejia'}, {'given': 'Alex', 'family': 'Zhang', 'name': 'Alex Zhang'}]",IEEE Transactions on Engineering Management,10.1109/tem.2018.2836960,journal-article,"['0018-9391', '1558-0040']",IEEE Trans. Eng. Manage.,IEEE Trans. Eng. Manage.,Institute of Electrical and Electronics Engineers (IEEE),3,66,443-458,2019-08-01,"['Electrical and Electronic Engineering', 'Strategy and Management']",,,,,
Learning and Bayesian Updating in Long Cycle Made-to-Order Production,,,,,,,,,,,,,,,,,,,
Optimizing the Capital Rationing Decisions with Uncertain Returns,,,,,,,,,,,,,,,,,,,
Optimizing the Credit Term Decisions in Supply Chain Finance,2019.0,"[{'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Liuqing', 'family': 'Mai', 'name': 'Liuqing Mai'}, {'given': 'Wenlong', 'family': 'Zhang', 'name': 'Wenlong Zhang'}, {'given': 'Xiangyu', 'family': 'Tian', 'name': 'Xiangyu Tian'}]",Journal of Purchasing and Supply Management,10.1016/j.pursup.2018.07.006,journal-article,['1478-4092'],Journal of Purchasing and Supply Management,Journal of Purchasing and Supply Management,Elsevier BV,2,25,146-156,2019-03-01,"['Marketing', 'Strategy and Management']",,,,,
The impact of dual-market on supply chain configuration for new products,2015.0,"[{'given': 'Mehdi', 'family': 'Amini', 'name': 'Mehdi Amini'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}]",International Journal of Production Research,10.1080/00207543.2015.1058537,journal-article,"['0020-7543', '1366-588X']",International Journal of Production Research,International Journal of Production Research,Informa UK Limited,18,53,5669-5684,2015-09-17,"['Industrial and Manufacturing Engineering', 'Management Science and Operations Research', 'Strategy and Management']",,,,,
Genetic Algorithm for Inventory Positioning Problem with General Acyclic Supply Chain Networks,2016.0,"[{'given': 'Dali', 'family': 'Jiang', 'name': 'Dali Jiang'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Tinghong', 'family': 'Yang', 'name': 'Tinghong Yang'}, {'given': 'De', 'family': 'Li', 'name': 'De Li'}]",European J. of Industrial Engineering,10.1504/ejie.2016.076385,journal-article,"['1751-5254', '1751-5262']",EJIE,EJIE,Inderscience Publishers,3,10,367,2016-01-01,['Industrial and Manufacturing Engineering'],,,,,
Improving Order Fulfillment Performance through Integrated Inventory Management in a Multi-Item Finished Goods System,,,,,,,,,,,,,,,,,,,
Improving Order Fulfillment Performance through Integrated Inventory Management in a Multi-Item Finished Goods System,,,,,,,,,,,,,,,,,,,
Decentralized Multi-Project Scheduling and Resource Allocation,,,,,,,,,,,,,,,,,,,
An Approximate Dynamic Programming Approach to Project Scheduling with Uncertain Resource Availabilities,2021.0,"[{'given': 'Fang', 'family': 'Xie', 'name': 'Fang Xie'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Zhe', 'family': 'Xu', 'name': 'Zhe Xu'}]",Applied Mathematical Modelling,10.1016/j.apm.2021.03.048,journal-article,['0307-904X'],Applied Mathematical Modelling,Applied Mathematical Modelling,Elsevier BV,,97,226-243,2021-09-01,"['Applied Mathematics', 'Modeling and Simulation']",,,,,
New Heuristics for the RCPSP with Multiple Overlapping Modes,2019.0,"[{'given': 'Zihao', 'family': 'Chu', 'name': 'Zihao Chu'}, {'given': 'Zhe', 'family': 'Xu', 'name': 'Zhe Xu'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}]",Computers &amp; Industrial Engineering,10.1016/j.cie.2019.03.044,journal-article,['0360-8352'],Computers &amp; Industrial Engineering,Computers &amp; Industrial Engineering,Elsevier BV,,131,146-156,2019-05-01,"['General Engineering', 'General Computer Science']",,,,,
Multi-Mode Resource-Constrained Project Scheduling with Uncertain Activity Cost,2021.0,"[{'given': 'Fang', 'family': 'Xie', 'name': 'Fang Xie'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Zhe', 'family': 'Xu', 'name': 'Zhe Xu'}]",Expert Systems with Applications,10.1016/j.eswa.2020.114475,journal-article,['0957-4174'],Expert Systems with Applications,Expert Systems with Applications,Elsevier BV,,168,114475,2021-04-01,"['Artificial Intelligence', 'Computer Science Applications', 'General Engineering']",,,,,
Optimizing Large-Scale Stochastic Resource Planning,,,,,,,,,,,,,,,,,,,
Improving Order Fulfillment Performance through Integrated Inventory Management in a Multi-Item Finished Goods System,,,,,,,,,,,,,,,,,,,
Multi-Modal Vaccine Distribution Network Design with Drones,,,,,,,,,,,,,,,,,,,
Stochastic Single-Machine Scheduling with Learning Effect,2017.0,"[{'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}]",IEEE Transactions on Engineering Management,10.1109/tem.2016.2618764,journal-article,"['0018-9391', '1558-0040']",IEEE Trans. Eng. Manage.,IEEE Trans. Eng. Manage.,Institute of Electrical and Electronics Engineers (IEEE),1,64,94-102,2017-02-01,"['Electrical and Electronic Engineering', 'Strategy and Management']",,,,,
Tabu Search for Solving the Black-and-White Travelling Salesman Problem,2016.0,"[{'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Bahram', 'family': 'Alidaee', 'name': 'Bahram Alidaee'}]",Journal of the Operational Research Society,10.1057/jors.2015.122,journal-article,"['0160-5682', '1476-9360']",Journal of the Operational Research Society,Journal of the Operational Research Society,Informa UK Limited,8,67,1061-1079,2016-08-01,"['Marketing', 'Management Science and Operations Research', 'Strategy and Management', 'Management Information Systems']",,,,,
Vaccine Distribution with Drones for Less Developed Countries: A Case Study in Vanuatu,2023.0,"[{'given': 'Shakiba', 'family': 'Enayati', 'name': 'Shakiba Enayati'}, {'given': 'James F.', 'family': 'Campbell', 'name': 'James F. Campbell'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}]",Vaccine: X,10.1016/j.jvacx.2023.100312,journal-article,['2590-1362'],Vaccine: X,Vaccine: X,Elsevier BV,,14,100312,2023-08-01,"['Infectious Diseases', 'Public Health, Environmental and Occupational Health', 'General Veterinary', 'General Immunology and Microbiology', 'Molecular Medicine']",,cc-by-nc-nd-4.0,,,
Using Integrated Simulation-Optimization to Optimize Staffing Decisions in a Service Supply Chain,2022.0,"[{'given': 'Stanislaus', 'family': 'Solomon', 'name': 'Stanislaus Solomon'}, {'given': 'Gertrude', 'family': 'Pannirselvam', 'name': 'Gertrude Pannirselvam'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}]",International Journal of Integrated Supply Management,10.1504/ijism.2022.10042125,journal-article,"['1477-5360', '1741-8097']",IJISM,IJISM,Inderscience Publishers,1,15,1,2022-01-01,"['Marketing', 'Strategy and Management']",,,,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
National Multi-Modal Vaccine Supply Network Design with Drones,,,,,,,,,,,,,,,,,,,
"Optimizing Carbon Taxation Target and Level: Enterprises, Consumers, or Both",2021.0,"[{'given': 'Wenguang', 'family': 'Tang', 'name': 'Wenguang Tang'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Jie', 'family': 'Chen', 'name': 'Jie Chen'}]",Journal of Cleaner Production,10.1016/j.jclepro.2020.124515,journal-article,['0959-6526'],Journal of Cleaner Production,Journal of Cleaner Production,Elsevier BV,,282,124515,2021-02-01,"['Industrial and Manufacturing Engineering', 'Strategy and Management', 'General Environmental Science', 'Renewable Energy, Sustainability and the Environment']",,,,,
A Multi-Agent Based Cooperative Approach to Decentralized Multi-Project Scheduling and Resource Allocation,2021.0,"[{'given': 'Feifei', 'family': 'Li', 'name': 'Feifei Li'}, {'given': 'Zhe', 'family': 'Xu', 'name': 'Zhe Xu'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}]",Computers &amp; Industrial Engineering,10.1016/j.cie.2020.106961,journal-article,['0360-8352'],Computers &amp; Industrial Engineering,Computers &amp; Industrial Engineering,Elsevier BV,,151,106961,2021-01-01,"['General Engineering', 'General Computer Science']",,,,,
"Integer Programming Formulations in Sequencing with Total Earliness and Tardiness Penalties, Arbitrary Due Dates, and No Idle Time: A Concise Review and Extension",2021.0,"[{'given': 'Bahram', 'family': 'Alidaee', 'name': 'Bahram Alidaee'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Haibo', 'family': 'Wang', 'name': 'Haibo Wang'}, {'given': 'Keith', 'family': 'Womer', 'name': 'Keith Womer'}]",Omega,10.1016/j.omega.2021.102446,journal-article,['0305-0483'],Omega,Omega,Elsevier BV,,103,102446,2021-09-01,"['Information Systems and Management', 'Management Science and Operations Research', 'Strategy and Management']",,,,,
Optimizing the Credit Term Decisions in a Dual-Channel Supply Chain,,,,,,,,,,,,,,,,,,,
Solving Stochastic Resource-Constrained Project Scheduling Problems by Closed-Loop Approximate Dynamic Programming,2015.0,"[{'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Norman K.', 'family': 'Womer', 'name': 'Norman K. Womer'}]",European Journal of Operational Research,10.1016/j.ejor.2015.04.015,journal-article,['0377-2217'],European Journal of Operational Research,European Journal of Operational Research,Elsevier BV,1,246,20-33,2015-10-01,"['Information Systems and Management', 'Management Science and Operations Research', 'Modeling and Simulation', 'General Computer Science', 'Industrial and Manufacturing Engineering']",,,,,
Multi-Period Stochastic Resource Planning in Professional Service Organizations,,,,,,,,,,,,,,,,,,,
Integrated Multi-Period Dynamic Inventory Classification and Control,2017.0,"[{'given': 'Liu', 'family': 'Yang', 'name': 'Liu Yang'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'James F.', 'family': 'Campbell', 'name': 'James F. Campbell'}, {'given': 'Donald C.', 'family': 'Sweeney', 'name': 'Donald C. Sweeney'}]",International Journal of Production Economics,10.1016/j.ijpe.2017.04.010,journal-article,['0925-5273'],International Journal of Production Economics,International Journal of Production Economics,Elsevier BV,,189,86-96,2017-07-01,"['Industrial and Manufacturing Engineering', 'Management Science and Operations Research', 'Economics and Econometrics', 'General Business, Management and Accounting']",,,,,
Optimizing the Configuration of a Food Supply Chain,,,,,,,,,,,,,,,,,,,
An effective genetic algorithm for the resource levelling problem with generalised precedence relations,2018.0,"[{'given': 'Hongbo', 'family': 'Li', 'name': 'Hongbo Li'}, {'given': 'Li', 'family': 'Xiong', 'name': 'Li Xiong'}, {'given': 'Yinbin', 'family': 'Liu', 'name': 'Yinbin Liu'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}]",International Journal of Production Research,10.1080/00207543.2017.1355120,journal-article,"['0020-7543', '1366-588X']",International Journal of Production Research,International Journal of Production Research,Informa UK Limited,5,56,2054-2075,2018-03-04,"['Industrial and Manufacturing Engineering', 'Management Science and Operations Research', 'Strategy and Management']",,,,,
Optimizing Supply Chain Configuration with Low Carbon Emission,2020.0,"[{'given': 'Duxian', 'family': 'Nie', 'name': 'Duxian Nie'}, {'given': 'Haitao', 'family': 'Li', 'name': 'Haitao Li'}, {'given': 'Ting', 'family': 'Qu', 'name': 'Ting Qu'}, {'given': 'Yang', 'family': 'Liu', 'name': 'Yang Liu'}, {'given': 'Congdong', 'family': 'Li', 'name': 'Congdong Li'}]",Journal of Cleaner Production,10.1016/j.jclepro.2020.122539,journal-article,['0959-6526'],Journal of Cleaner Production,Journal of Cleaner Production,Elsevier BV,,271,122539,2020-10-01,"['Industrial and Manufacturing Engineering', 'Strategy and Management', 'General Environmental Science', 'Renewable Energy, Sustainability and the Environment', 'Building and Construction']",,cc-by,,,
Expected Value of Perfect Information in Stochastic Machine Scheduling,,,,,,,,,,,,,,,,,,,
New exact and heuristic methods for a general class of single-machine scheduling problems,,,,,,,,,,,,,,,,,,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
"Review of Nicole R. Rice and Margaret Aziza Pappano, The Civic Cycles: Artisan Drama and Identity in Premodern England (University of Notre Dame Press, 2016)",,,,,,,,,,,,,,,,,,,
Moldy Pericles,,,,,,,,,,,,,,,,,,,
"Review of Thomas Fulton and Kristen Poole, eds. The Bible on the Shakespearean Stage: Cultures of Interpretation in Reformation England (Cambridge University Press, 2018)",,,,,,,,,,,,,,,,,,,
"Review of Lindsay Ann Reid, Shakespeare's Ovid and the Spectre of the Medieval (D. S. Brewer, 2018)",,,,,,,,,,,,,,,,,,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
Stealing Shives: Titus Andronicus as Chaucerian anti-Roman(ce),,,,,,,,,,,,,,,,,,,
Admissible Bernoulli Correlations,2019.0,"[{'given': 'Mark', 'family': 'Huber', 'name': 'Mark Huber'}, {'given': 'Nevena', 'family': 'Marić', 'name': 'Nevena Marić'}]",Journal of Statistical Distributions and Applications,10.1186/s40488-019-0091-5,journal-article,['2195-5832'],J Stat Distrib App,J Stat Distrib App,Springer Science and Business Media LLC,1,6,,2019-12-01,"['Statistics, Probability and Uncertainty', 'Computer Science Applications', 'Statistics and Probability']",,cc-by-4.0,,,
CUT polytope has vertices on a line,2018.0,"[{'given': 'Nevena', 'family': 'Marić', 'name': 'Nevena Marić'}]",Electronic Notes in Discrete Mathematics,10.1016/j.endm.2018.11.010,journal-article,['1571-0653'],Electronic Notes in Discrete Mathematics,Electronic Notes in Discrete Mathematics,Elsevier BV,,70,59-64,2018-12-01,"['Applied Mathematics', 'Discrete Mathematics and Combinatorics']",,,,,
Bernoulli Correlations and CUT polytopes,,,,,,,,,,,,,,,,,,,
Fleming-Viot Particle System Driven by a Random Walk on N,,,,,,,,,,,,,,,,,,,
Subsystem codes and stabilizer codes from toric and generalized toric codes (R),,,,,,,,,,,,,,,,,,,
An infinitesimal Noether-Lefschetz theorem for Chow groups (R),,,,,,,,,,,,,,,,,,,
Lefschetz theorems for torsion algebraic cycles in codimension 2 (R),,,,,,,,,,,,,,,,,,,
Remarks on higher rank ACM bundles on hypersurfaces (R),,,,,,,,,,,,,,,,,,,
Rank 3 ACM bundles on general hypersurfaces  (R),,,,,,,,,,,,,,,,,,,
